Grape,Country,Wine name,Wine rating average,Wine ratings count
Cabernet Sauvignon,us,Altagracia Cabernet Sauvignon,4.4,3083
Cabernet Sauvignon,za,Series M,4.4,2995
Cabernet Sauvignon,es,Ribera del Duero Prestigio,4.4,2994
Cabernet Sauvignon,cl,Montelìg,4.4,2905
Cabernet Sauvignon,us,Cabernet Sauvignon,4.4,2830
Cabernet Sauvignon,es,Interpretación,4.4,2760
Cabernet Sauvignon,es,Clos de L'Obac,4.4,2588
Cabernet Sauvignon,es,Tinto,4.4,2511
Cabernet Sauvignon,ar,Altura Máxima Malbec,4.4,2168
Cabernet Sauvignon,za,Pinotage,4.4,2063
Cabernet Sauvignon,cl,Toknar,4.4,2033
Cabernet Sauvignon,au,Ares,4.4,1995
Cabernet Sauvignon,au,RWT Bin 798 Shiraz,4.4,1975
Cabernet Sauvignon,us,Merlot,4.4,1922
Cabernet Sauvignon,za,Reserve Pinotage,4.4,1891
Cabernet Sauvignon,us,One Sixteen Chardonnay,4.4,1753
Cabernet Sauvignon,za,V Red,4.4,1715
Cabernet Sauvignon,es,Quincha Corral,4.4,1230
Cabernet Sauvignon,za,The Mackenzie,4.4,1220
Cabernet Sauvignon,us,Côte à Côte Estate,4.4,1133
Cabernet Sauvignon,es,Rioja Reserva 10 Años Después Edición Limitada,4.4,1093
Cabernet Sauvignon,es,Palo Cortado Tradición Vors 30 Years Sherry,4.4,1050
Cabernet Sauvignon,za,Chardonnay,4.4,1031
Cabernet Sauvignon,es,La Poza de Ballesteros,4.4,987
Cabernet Sauvignon,es,Les Manyes,4.4,924
Cabernet Sauvignon,es,Reserva Particular de Recaredo Gran Reserva Brut Nature,4.4,923
Cabernet Sauvignon,es,Delicado Cosecha Pedro Ximénez,4.4,870
Cabernet Sauvignon,es,Tinto,4.4,803
Cabernet Sauvignon,es,Nebro Ribera del Duero,4.4,647
Cabernet Sauvignon,es,Cream Tradición Vos 20 Years,4.4,623
Cabernet Sauvignon,es,Valdegatiles Ribera del Duero,4.4,587
Cabernet Sauvignon,us,Novicium Estate,4.4,495
Cabernet Sauvignon,us,Fort Ross Seaview Home Field Pinot Noir,4.4,483
Cabernet Sauvignon,us,Gold Series Syrah,4.4,477
Cabernet Sauvignon,es,Dolç de L'Obac,4.4,440
Cabernet Sauvignon,hu,Tokaji Aszú 6 Puttonyos,4.4,439
Cabernet Sauvignon,au,Attunga 1865 Shiraz,4.4,371
Cabernet Sauvignon,au,Aphrodite,4.4,367
Cabernet Sauvignon,es,Rioja Blanco Reserva,4.4,361
Cabernet Sauvignon,es,Grand Vin,4.4,343
Cabernet Sauvignon,gr,Παλιές Ρίζες (Palies Rizes),4.4,313
Cabernet Sauvignon,gr,Museum Collection White,4.4,297
Cabernet Sauvignon,ar,Los Jabalíes Single Vineyard Malbec,4.4,284
Cabernet Sauvignon,us,Hyde Vineyard Chardonnay,4.4,265
Cabernet Sauvignon,au,Dogs of the Barossa Shiraz,4.4,264
Cabernet Sauvignon,za,Estate Reserve Viognier,4.4,257
Cabernet Sauvignon,es,Minami,4.4,246
Cabernet Sauvignon,es,Peña Lobera,4.4,234
Cabernet Sauvignon,us,Belles Soeurs Cuvée Pinot Noir,4.4,229
Cabernet Sauvignon,us,Lot 1,4.4,226
Cabernet Sauvignon,es,Fino La Barajuela,4.4,222
Cabernet Sauvignon,es,Tinto,4.4,203
Cabernet Sauvignon,au,Chardonnay,4.4,201
Cabernet Sauvignon,hu,Petracs Furmint,4.4,200
Cabernet Sauvignon,cl,Vieilles Vignes La Parcelle 8 Apalta,4.4,184
Cabernet Sauvignon,ro,Carpathia Heritage,4.4,166
Cabernet Sauvignon,es,El Escolladero,4.4,161
Cabernet Sauvignon,es,Pandorga,4.4,148
Cabernet Sauvignon,es,Ribera del Duero Reserva,4.3,37394
Cabernet Sauvignon,es,Malleolus,4.3,34630
Cabernet Sauvignon,ar,Cabernet - Cabernet,4.3,27436
