Grape,Country,Wine name,Wine rating average,Wine ratings count
Pinot Noir,fr,Bâtard-Montrachet Grand Cru,4.5,214
Pinot Noir,fr,Charlemagne Grand Cru,4.5,201
Pinot Noir,fr,Puligny-Montrachet Premier Cru La Garenne,4.5,200
Pinot Noir,fr,Chapelle-Chambertin Grand Cru,4.5,188
Pinot Noir,fr,Chambertin Grand Cru,4.5,188
Pinot Noir,fr,Hérédita Châteauneuf-du-Pape,4.5,185
Pinot Noir,fr,Étoile Rosé,4.5,183
Pinot Noir,fr,Denarius Graves,4.5,129
Pinot Noir,fr,Pour Vous Sancerre,4.5,125
Pinot Noir,us,Bentrock Vineyard Chardonnay,4.5,118
Pinot Noir,fr,Vosne-Romanée Premier Cru Les Petits Monts,4.5,105
Pinot Noir,fr,Vieux Marc de Bandol,4.5,102
Pinot Noir,fr,Cuvée Madame Barsac,4.5,94
Pinot Noir,fr,Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,68
Pinot Noir,fr,Chambolle-Musigny 1er Cru 'Les Amoureuses',4.5,59
Pinot Noir,fr,Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',4.5,58
Pinot Noir,fr,Clos Le Léon Dizy Champagne,4.5,53
Pinot Noir,fr,Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,4.5,47
Pinot Noir,us,Alpine Hillside Pinot Noir,4.5,46
Pinot Noir,fr,Nuits-Saint-Georges 1er Cru 'Aux Murgers',4.5,40
Pinot Noir,fr,Vin de Paille,4.5,35
Pinot Noir,us,Grenache,4.5,34
Pinot Noir,fr,Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,4.5,33
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.5,33
Pinot Noir,fr,Le Montrachet Grand Cru,4.5,30
Pinot Noir,us,ARTEMIS Cabernet Sauvignon,4.4,81351
Pinot Noir,fr,Pauillac (Grand Cru Classé),4.4,55808
Pinot Noir,fr,Pauillac (Grand Cru Classé),4.4,47234
Pinot Noir,us,Alexander Valley Cabernet Sauvignon,4.4,46066
Pinot Noir,fr,Cos d'Estournel,4.4,43704
Pinot Noir,fr,Pauillac (Grand Cru Classé),4.4,39731
Pinot Noir,fr,Châteauneuf-du-Pape,4.4,38998
Pinot Noir,fr,Pauillac (Grand Cru Classé),4.4,37460
Pinot Noir,fr,Brut Cuvée Champagne Rosé,4.4,36681
Pinot Noir,fr,Saint-Julien (Grand Cru Classé),4.4,29317
Pinot Noir,us,Cabernet Sauvignon,4.4,28544
Pinot Noir,fr,Saint-Julien (Grand Cru Classé),4.4,28094
Pinot Noir,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.4,27316
Pinot Noir,us,Eight Years In The Desert,4.4,27195
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,24916
Pinot Noir,fr,Brut Rosé Champagne,4.4,23241
Pinot Noir,fr,Brut Rosé Champagne,4.4,21147
Pinot Noir,fr,Sauternes (Premier Grand Cru Classé),4.4,19239
Pinot Noir,fr,Pavillon Rouge du Château Margaux,4.4,16401
Pinot Noir,fr,Carruades de Lafite Pauillac,4.4,13866
Pinot Noir,fr,Pomerol,4.4,13504
Pinot Noir,us,Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652
Pinot Noir,us,Evenstad Reserve Pinot Noir,4.4,11531
Pinot Noir,fr,Pomerol,4.4,10374
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,10296
Pinot Noir,fr,Baron de L Pouilly-Fumé,4.4,9002
Pinot Noir,fr,Côtes de Bourg,4.4,8249
Pinot Noir,fr,Le Petit Mouton de Mouton Rothschild Pauillac,4.4,8214
Pinot Noir,fr,Pomerol,4.4,7221
