Grape,Country,Wine name,Wine rating average,Wine ratings count
Chardonnay,it,Cuvée Annamaria Clementi (Extra Brut),4.5,7928
Chardonnay,it,Brunello di Montalcino,4.5,7883
Chardonnay,ar,Finca Bella Vista Malbec,4.5,7663
Chardonnay,md,Lupi Rezerva,4.5,7604
Chardonnay,it,Poggio all'Oro Brunello di Montalcino Riserva,4.5,7033
Chardonnay,it,Amarone della Valpolicella Classico,4.5,6669
Chardonnay,us,Relentless,4.5,6633
Chardonnay,us,S.L.V. Cabernet Sauvignon,4.5,6560
Chardonnay,it,Luce Brunello di Montalcino,4.5,6544
Chardonnay,us,Howell Mountain Cabernet Sauvignon,4.5,6466
Chardonnay,it,Pietro Dal Cero Amarone della Valpolicella,4.5,6424
Chardonnay,fr,Cuvée Nicolas François Billecart Brut Champagne,4.5,6228
Chardonnay,fr,Hommage à Jacques Perrin Châteauneuf-du-Pape,4.5,6121
Chardonnay,it,Barolo Cascina Francia,4.5,6045
Chardonnay,it,Bibbona,4.5,5981
Chardonnay,it,Gaia & Rey Langhe,4.5,5909
Chardonnay,fr,Amour de Deutz Millésimé Brut Champagne,4.5,5532
Chardonnay,it,Messorio,4.5,5514
Chardonnay,it,Redigaffi Toscana,4.5,5212
Chardonnay,it,Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.5,5016
Chardonnay,fr,Clos de Tart Grand Cru Monopole,4.5,4948
Chardonnay,fr,MV,4.5,4763
Chardonnay,fr,Clos des Goisses Champagne,4.5,4662
Chardonnay,it,Campolongo di Torbe Amarone della Valpolicella Classico,4.5,4392
Chardonnay,it,Brunello di Montalcino,4.5,4357
Chardonnay,fr,Clos Sainte Hune Riesling Alsace,4.5,4106
Chardonnay,it,Pieve Santa Restituta Sugarille Brunello di Montalcino,4.5,3717
Chardonnay,it,Brunello di Montalcino Riserva Madonna del Piano,4.5,3506
Chardonnay,it,Pieve Santa Restituta Rennina Brunello di Montalcino,4.5,3393
Chardonnay,ar,Kalós Cru Gran Reserva Malbec,4.5,3351
Chardonnay,it,Mazzano Amarone Della Valpolicella Classico,4.5,3276
Chardonnay,it,Darmagi Langhe,4.5,3184
Chardonnay,us,Cabernet Sauvignon,4.5,3087
Chardonnay,it,Toscana Rosso,4.5,2799
Chardonnay,ar,Gran VU Blend,4.5,2773
Chardonnay,it,Madonna delle Grazie Brunello di Montalcino,4.5,2747
Chardonnay,it,Brunello di Montalcino,4.5,2623
Chardonnay,fr,Bonnes-Mares Grand Cru,4.5,2595
Chardonnay,ar,Adrianna Vineyard Fortuna Terrae Malbec,4.5,2589
Chardonnay,au,The Armagh Shiraz,4.5,2472
Chardonnay,it,Conteisa Langhe,4.5,2295
Chardonnay,it,Ca’ del Merlo Rosso Veneto,4.5,2198
Chardonnay,it,Toscana,4.5,2185
Chardonnay,it,Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,4.5,2165
Chardonnay,it,Cerretta Barolo Riserva (Vigna Bricco),4.5,2065
Chardonnay,fr,Coteau de Vernon Condrieu,4.5,2015
Chardonnay,fr,Les Poyeux Saumur Champigny,4.5,2005
Chardonnay,it,Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,1971
Chardonnay,us,La Muse,4.5,1948
Chardonnay,it,Falletto Barolo Le Rocche del Falletto,4.5,1883
Chardonnay,it,Brunello di Montalcino Riserva,4.5,1875
Chardonnay,fr,Les Clos Chablís Grand Cru,4.5,1750
Chardonnay,fr,Cuvée des Enchanteleurs Brut Champagne,4.5,1732
Chardonnay,it,Barolo Riserva Granbussia,4.5,1728
Chardonnay,us,Le Désir,4.5,1694
Chardonnay,it,Baffonero Maremma Toscana,4.5,1682
Chardonnay,fr,Chablis Grand Cru 'Valmur',4.5,1653
Chardonnay,fr,Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,4.5,1640
Chardonnay,it,Rocche dell'Annunziata Barolo Riserva,4.5,1609
Chardonnay,it,Barolo Bussia Romirasco,4.5,1544
Chardonnay,fr,N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1482
Chardonnay,it,Brunello di Montalcino,4.5,1365
Chardonnay,us,Blueline Estate Cabernet Sauvignon,4.5,1321
Chardonnay,fr,Echezeaux Grand Cru,4.5,1311
Chardonnay,fr,Richebourg Grand Cru,4.5,1296
Chardonnay,it,Lupi e Sirene Riserva,4.5,1292
Chardonnay,it,Brunate  Barolo,4.5,1289
Chardonnay,fr,Le Bourg Saumur Champigny,4.5,1264
Chardonnay,it,Rocche dell'Annunziata Torriglione Barolo,4.5,1222
Chardonnay,fr,Bonnes-Mares Grand Cru,4.5,1208
Chardonnay,fr,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,1206
Chardonnay,fr,Bâtard-Montrachet Grand Cru,4.5,1182
Chardonnay,it,Kapnios Aglianico,4.5,1134
Chardonnay,it,Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,1107
Chardonnay,fr,Champagne,4.5,1021
Chardonnay,md,Negru de Purcari Limited Edition,4.5,970
Chardonnay,it,Toscana Bianco,4.5,833
Chardonnay,fr,Brut Rosé Champagne,4.5,830
Chardonnay,fr,Terrasse à l'Ombre Côtes du Rhône,4.5,819
Chardonnay,it,Amarone della Valpolicella,4.5,749
Chardonnay,it,Magma,4.5,748
Chardonnay,it,Amarone della Valpolicella Classico Mater,4.5,739
Chardonnay,it,Lilium Est Amarone Della Valpolicella Riserva,4.5,733
Chardonnay,md,Ice Wine de Purcari,4.5,722
Chardonnay,it,Per Sempre Syrah Toscana,4.5,711
Chardonnay,fr,Montrachet Grand Cru Blanc,4.5,700
Chardonnay,fr,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,681
Chardonnay,it,Il San Lorenzo Bianco,4.5,673
Chardonnay,it,Alàuda,4.5,670
Chardonnay,it,Brunello di Montalcino Riserva,4.5,665
Chardonnay,it,Kupra Marche,4.5,637
Chardonnay,fr,Clos de Bèze Grand Cru,4.5,635
Chardonnay,fr,Chambertin-Clos-de-Beze Grand Cru,4.5,611
Chardonnay,fr,MV Rosé,4.5,588
Chardonnay,it,Crichet Pajè Barbaresco,4.5,584
Chardonnay,fr,La Landonne Côte-Rôtie,4.5,584
Chardonnay,it,Vigna Grande Cerzito Taurasi Riserva,4.5,581
Chardonnay,fr,Bonnes Mares Grand Cru,4.5,554
Chardonnay,fr,Châteauneuf-du-Pape Amiral G,4.5,536
Chardonnay,fr,Amour de Deutz Millesimé Rosé Brut Champagne,4.5,536
Chardonnay,it,Amarone Stella,4.5,533
Chardonnay,it,Rujno Rosso,4.5,532
Chardonnay,it,Lux Vitis,4.5,530
Chardonnay,it,LR,4.5,503
Chardonnay,it,Ferro,4.5,499
