winery_id,wines_name,average_rating,number_of_wines,total_rating,avg_rating_count
1358,"Beaune 1er Cru 'Clos des Mouches' Blanc,Chambertin Clos de Bèze Grand Cru,Grands-Echezeaux Grand Cru,Puligny-Montrachet,Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,Montrachet Grand Cru Marquis de Laguiche,Corton-Charlemagne Grand Cru",4.428571428571429,7,13327,1903.857142857143
68941,"Clos de Bèze Grand Cru,Nuits-Saint-Georges 1er Cru 'Clos des Corvées',Vosne-Romanée 1er Cru 'Les Suchots',Clos de Vougeot",4.425000000000001,4,3139,784.75
30373,"Chambolle-Musigny Premier Cru 'Les Feusselottes',Chambolle-Musigny Les Cabottes,Chapelle-Chambertin Grand Cru,Morey-Saint-Denis Tres Girard",4.425000000000001,4,1202,300.5
9064,"Viña El Pison,El Carretil,La Poza de Ballesteros,Valdegines",4.425,4,7356,1839.0
308635,Le Lucére Brunello di Montalcino Riserva,4.4,1,213,213.0
298550,Ipsus Chianti Classico Gran Selezione,4.4,1,185,185.0
293687,Tinto,4.4,1,203,203.0
287175,"Triglia Negroamaro Rosato,Luminaria Primitivo di Manduria",4.4,2,841,420.5
283096,"Trebbiano d'Abruzzo,Montepulciano d'Abruzzo",4.4,2,7232,3616.0
278851,Tinto,4.4,1,803,803.0
261516,Interpretación,4.4,1,2760,2760.0
232772,Librante Primitivo di Manduria,4.4,1,491,491.0
231148,Pandorga,4.4,1,148,148.0
223950,"Old Vines Primitivo di Manduria,Il Bacca Old Vine Primitivo di Manduria",4.4,2,23837,11918.5
221277,Trebbiano d'Abruzzo,4.4,1,140,140.0
215683,Chardonnay,4.4,1,1031,1031.0
203543,Grand Vin,4.4,1,343,343.0
194229,Saint-Emilion Grand Cru (Premier Grand Cru Classé),4.4,1,1986,1986.0
193777,Pessac-Léognan (Grand Cru Classé de Graves),4.4,1,27316,27316.0
186640,Pomerol,4.4,1,10374,10374.0
183112,Giramonte Toscana,4.4,1,1678,1678.0
