name,ratings_average,total_rating,users_count
Vintage Port Nacional,4.6,1122,1123535
La Grande Dame Brut Rosé Champagne,4.6,1118,5973301
Musigny Grand Cru,4.6,1038,5973301
L'Amarone del Maestro Fornaser,4.6,1031,4270717
Barolo Riserva Villero,4.6,803,4270717
Vin Santo di Montepulciano,4.6,773,4270717
Vosne-Romanée Premier Cru Aux Reignots,4.6,645,5973301
Falletto Barolo Le Rocche del Falletto Riserva,4.6,622,4270717
Barolo Riserva Monprivato Cà d'Morissio,4.6,588,4270717
Finca Garbet,4.6,573,2264396
Cabernet Sauvignon Coeur De Vallée,4.6,544,12273684
Ampio,4.6,481,4270717
Tordiz 40 Year Old Tawny Port,4.6,474,1123535
L'Extravagant de Doisy-Daëne Sauternes,4.6,465,5973301
Octavius Amarone della Valpolicella Riserva,4.6,450,4270717
La Faraona Bierzo (Corullón),4.6,423,2264396
Quiñon de Valmira,4.6,377,2264396
Perpiero,4.6,351,4270717
Touran,4.6,274,2264396
Barolo Arione,4.6,259,4270717
888 Pinotage Gold,4.6,234,269649
The Journeyman,4.6,231,269649
Recioto della Valpolicella (Monte Lodoletta),4.6,227,4270717
Clos de Tart Grand Cru,4.6,214,5973301
Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,188,4270717
Bassolino di Sopra Brunello di Montalcino,4.6,174,4270717
EABA,4.6,151,12273684
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149,5973301
Lithology Cabernet Sauvignon,4.6,148,12273684
Bure Alto Amarone  della Valpolicella Classico Riserva,4.6,132,4270717
Gran Buig Priorat,4.6,125,2264396
Ginés Liébana Pedro Ximénez,4.6,120,2264396
Graacher Himmelreich Riesling Auslese 'Goldkapsel',4.6,119,2549989
A50 Amarone della Valpolicella,4.6,100,4270717
Secentenario,4.6,96,4270717
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,4.6,94,4270717
Nettare Veneto Bianco,4.6,87,4270717
Aegusa,4.6,81,4270717
Grande Cuvée Luigi Moio,4.6,80,4270717
Colheita Porto Branco,4.6,65,1123535
Collection Vintage 2000 Brut,4.6,58,5973301
40 Anos Tawny Port,4.6,57,1123535
Aszú 6 Puttonyos Tokaj,4.6,54,102235
Dieci Brunello di Montalcino,4.6,43,4270717
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,43,5973301
Clos Saint-Denis Grand Cru,4.6,40,5973301
Glesie Climat,4.6,37,4270717
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,34,5973301
Palo Cortado Añada,4.6,27,2264396
Tignanello,4.5,142513,4270717
60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289,4270717
Ribera del Duero,4.5,69278,2264396
Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392,4270717
Flor de Pingus,4.5,32932,2264396
Papillon,4.5,30682,12273684
Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026,5973301
Comtes de Champagne Blanc de Blancs,4.5,27449,5973301
La Grande Année Brut Champagne,4.5,24646,5973301
Clio,4.5,24553,2264396
Barbaresco,4.5,24516,4270717
Castillo Ygay Gran Reserva Especial Tinto,4.5,23170,2264396
Dominus (Christian Moueix),4.5,22117,12273684
Flaccianello della Pieve,4.5,21518,4270717
Ben Ryé Passito di Pantelleria,4.5,21351,4270717
Belle Epoque Brut Champagne,4.5,20992,5973301
Tenuta Nuova Brunello di Montalcino,4.5,20934,4270717
Isosceles,4.5,18920,12273684
Gran Enemigo,4.5,18739,629532
Aconcagua Valley,4.5,18482,326757
Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466,5973301
Brunello di Montalcino Riserva,4.5,17832,4270717
La Grande Dame Brut Champagne,4.5,17474,5973301
Overture,4.5,16804,12273684
One Point Five Cabernet Sauvignon,4.5,16341,12273684
Valpolicella Superiore Monte Lodoletta,4.5,13024,4270717
Valpolicella Classico Superiore,4.5,12262,4270717
Monte Bello,4.5,11978,12273684
Gran Reserva 890,4.5,11347,2264396
FAY Cabernet Sauvignon,4.5,10840,12273684
5 Stelle Sfursat,4.5,10740,4270717
Amarone della Valpolicella Classico Riserva (Sergio Zenato),4.5,9963,4270717
Grand Siècle Champagne (Grande Cuvée),4.5,9824,5973301
Limited Edition 10 Vendemmie,4.5,9453,4270717
Vin de Pays de l'Hérault,4.5,8933,5973301
Bramare Marchiori Vineyard Malbec,4.5,8713,629532
Silex,4.5,8386,5973301
Finca Altamira Malbec,4.5,8093,629532
Cuvée Annamaria Clementi (Extra Brut),4.5,7928,4270717
Finca Bella Vista Malbec,4.5,7663,629532
Lupi Rezerva,4.5,7604,13583
Poggio all'Oro Brunello di Montalcino Riserva,4.5,7033,4270717
Relentless,4.5,6633,12273684
S.L.V. Cabernet Sauvignon,4.5,6560,12273684
Luce Brunello di Montalcino,4.5,6544,4270717
Howell Mountain Cabernet Sauvignon,4.5,6466,12273684
Pietro Dal Cero Amarone della Valpolicella,4.5,6424,4270717
Cuvée Nicolas François Billecart Brut Champagne,4.5,6228,5973301
Hommage à Jacques Perrin Châteauneuf-du-Pape,4.5,6121,5973301
Barolo Cascina Francia,4.5,6045,4270717
Bibbona,4.5,5981,4270717
Gaia & Rey Langhe,4.5,5909,4270717
Amour de Deutz Millésimé Brut Champagne,4.5,5532,5973301
Messorio,4.5,5514,4270717
Redigaffi Toscana,4.5,5212,4270717
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.5,5016,4270717
Clos de Tart Grand Cru Monopole,4.5,4948,5973301
MV,4.5,4763,5973301
Clos des Goisses Champagne,4.5,4662,5973301
Campolongo di Torbe Amarone della Valpolicella Classico,4.5,4392,4270717
Douro Pintas Tinto,4.5,4167,1123535
Clos Sainte Hune Riesling Alsace,4.5,4106,5973301
Bonnes-Mares Grand Cru,4.5,3803,5973301
Pieve Santa Restituta Sugarille Brunello di Montalcino,4.5,3717,4270717
Brunello di Montalcino Riserva Madonna del Piano,4.5,3506,4270717
Trasnocho,4.5,3399,2264396
Pieve Santa Restituta Rennina Brunello di Montalcino,4.5,3393,4270717
Kalós Cru Gran Reserva Malbec,4.5,3351,629532
Mazzano Amarone Della Valpolicella Classico,4.5,3276,4270717
Darmagi Langhe,4.5,3184,4270717
Series C,4.5,3027,269649
Toscana Rosso,4.5,2799,4270717
Gran Reserva Ribera del Duero,4.5,2777,2264396
Gran VU Blend,4.5,2773,629532
Madonna delle Grazie Brunello di Montalcino,4.5,2747,4270717
Altura,4.5,2733,326757
Adrianna Vineyard Fortuna Terrae Malbec,4.5,2589,629532
The Armagh Shiraz,4.5,2472,1022965
Aszú 6 puttonyos,4.5,2450,102235
Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,2388,5973301
Conteisa Langhe,4.5,2295,4270717
Ca’ del Merlo Rosso Veneto,4.5,2198,4270717
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,4.5,2165,4270717
Amancio,4.5,2076,2264396
Cerretta Barolo Riserva (Vigna Bricco),4.5,2065,4270717
Coteau de Vernon Condrieu,4.5,2015,5973301
Les Poyeux Saumur Champigny,4.5,2005,5973301
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,1971,4270717
La Muse,4.5,1948,12273684
Falletto Barolo Le Rocche del Falletto,4.5,1883,4270717
