name,ratings_average,total_rating,users_count
Les Sentiers Chambolle-Musigny 1er Cru,4.4,1253,5973301
Nuits-Saint-Georges 1er Cru 'Clos des Corvées',4.4,1245,5973301
Gallina Barbaresco,4.4,1236,4270717
Quincha Corral,4.4,1230,2264396
The Mackenzie,4.4,1220,269649
Big'd Big Barolo,4.4,1148,4270717
Côte à Côte Estate,4.4,1133,12273684
Grands-Echezeaux Grand Cru,4.4,1132,5973301
VT Vendemmia Tardiva,4.4,1096,4270717
Rioja Reserva 10 Años Después Edición Limitada,4.4,1093,2264396
Chapelle d'Ausone Saint-Émilion Grand Cru,4.4,1086,5973301
Harimann Montepulciano d'Abruzzo,4.4,1086,4270717
Calle Merlot Rosso Veronese,4.4,1053,4270717
Palo Cortado Tradición Vors 30 Years Sherry,4.4,1050,2264396
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,4.4,1041,5973301
Puligny-Montrachet Premier Cru Champ-Canet,4.4,1020,5973301
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.4,1016,5973301
Bonnes Mares Grand Cru,4.4,1006,5973301
Gevrey Chambertin 1er Cru 'Aux Combottes',4.4,1002,5973301
La Poza de Ballesteros,4.4,987,2264396
Palazzi Rosso Toscana,4.4,961,4270717
Amarone della Valpolicella Riserva,4.4,958,4270717
Vigna Colonnello Barolo Riserva Bussia,4.4,957,4270717
Barolo Riserva Leon,4.4,948,4270717
Dona Ermelinda Grande Reserva,4.4,933,1123535
Carmin,4.4,931,5973301
Les Manyes,4.4,924,2264396
Reserva Particular de Recaredo Gran Reserva Brut Nature,4.4,923,2264396
Gabbro Toscana,4.4,921,4270717
Mossone,4.4,892,4270717
Campo Alla Sughera,4.4,888,4270717
Delicado Cosecha Pedro Ximénez,4.4,870,2264396
Corton-Bressandes Grand Cru,4.4,861,5973301
Historical XIXth Century Wine,4.4,807,5973301
Valmezzane Amarone della Valpolicella,4.4,799,4270717
Barrosu Cannonau di Sardegna Riserva Franzisca,4.4,794,4270717
Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',4.4,794,5973301
Les Beaux Monts Vosne-Romanée 1er Cru,4.4,787,5973301
Le Petit Cheval Bordeaux Blanc,4.4,782,5973301
Tessons Clos de Mon Plaisir Meursault,4.4,761,5973301
Colheita Porto,4.4,741,1123535
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,4.4,731,5973301
Barbaresco Asili,4.4,710,4270717
Semel Pater,4.4,710,4270717
Sancerre 'Clos la Néore',4.4,699,5973301
Fanòi Primitivo,4.4,695,4270717
Asili Barbaresco Vecchie Viti,4.4,668,4270717
Châteauneuf-du-Pape Réservé Blanc,4.4,668,5973301
Vosne-Romanée 1er Cru 'Les Suchots',4.4,651,5973301
Nebro Ribera del Duero,4.4,647,2264396
Cream Tradición Vos 20 Years,4.4,623,2264396
Chassagne-Montrachet 1er Cru 'Morgeot',4.4,612,5973301
Clos de Vougeot,4.4,608,5973301
30 Year Old Tawny Port,4.4,602,1123535
Gorgona,4.4,592,4270717
Les Blanchiens Brut Nature Champagne Premier Cru,4.4,590,5973301
Valdegatiles Ribera del Duero,4.4,587,2264396
Puligny-Montrachet Premier Cru Les Combettes,4.4,582,5973301
Montefico Barbaresco Vecchie Viti,4.4,581,4270717
Paralupi Appassimento,4.4,575,4270717
Luminaria Primitivo di Manduria,4.4,563,4270717
Giorgio Bartholomäus,4.4,554,4270717
Charmes-Chambertin Grand Cru Les Mazoyères,4.4,548,5973301
Grands-Échezeaux Grand Cru,4.4,544,5973301
Corton Grand Cru 'Clos Rognet',4.4,543,5973301
Nuits-Saint-Georges 1er Cru 'Aux Thorey',4.4,543,5973301
Chevalier-Montrachet Grand Cru Les Demoiselles,4.4,532,5973301
123 Brunello di Montalcino Riserva,4.4,525,4270717
50 Old Vines Vecchie Vigne Negroamaro,4.4,510,4270717
Amarone Classico Monte Danieli,4.4,504,4270717
Novicium Estate,4.4,495,12273684
Librante Primitivo di Manduria,4.4,491,4270717
Fort Ross Seaview Home Field Pinot Noir,4.4,483,12273684
Gold Series Syrah,4.4,477,12273684
Puligny-Montrachet Premier Cru ' Clos de la Truffière',4.4,475,5973301
Clos Saint Denis Grand Cru,4.4,474,5973301
Vigna Madonna Assunta La Villa Barolo Riserva,4.4,470,4270717
Cěrǎsum Riserva Amarone della Valpolicella,4.4,460,4270717
Giunonico Riserva Primitivo di Manduria,4.4,460,4270717
Grands-Échézeaux Grande Cuvée Vieilles Vignes,4.4,449,5973301
Falletto Barbaresco Rabaja,4.4,448,4270717
Puligny-Montrachet 1er Cru 'La Garenne',4.4,442,5973301
Dolç de L'Obac,4.4,440,2264396
Arché,4.4,429,1123535
Clos de la Roche Grand Cru,4.4,429,5973301
Puligny-Montrachet 1er Cru 'Les Champs Gains',4.4,429,5973301
Cuvée Risleus Brut Champagne Premier Cru,4.4,415,5973301
Chambolle-Musigny Les Cabottes,4.4,413,5973301
Guglielmi di Jago Amarone della Valpolicella Classico,4.4,408,4270717
Hohenmorgen G.C,4.4,378,2549989
Attunga 1865 Shiraz,4.4,371,1022965
Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,4.4,368,5973301
Aphrodite,4.4,367,1022965
Chambolle-Musigny Premier Cru Les Charmes,4.4,364,5973301
Il Ritrovo,4.4,363,4270717
Rioja Blanco Reserva,4.4,361,2264396
40 Years Old Tawny Port,4.4,357,1123535
Grand Vin,4.4,343,2264396
Meursault 1er Cru 'Perrières',4.4,342,5973301
Les Boudots Nuits-Saint-Georges 1er Cru,4.4,339,5973301
Morey-Saint-Denis Tres Girard,4.4,339,5973301
Os Paulistas Chão dos Eremitas Vinhas Velhas,4.4,334,1123535
Graal Amarone della Valpolicella Valpantena,4.4,328,4270717
Παλιές Ρίζες (Palies Rizes),4.4,313,95693
Fleur de Miraval Exclusivement Rosé Champagne,4.4,304,5973301
Museum Collection White,4.4,297,95693
Réservé Châteauneuf-du-Pape,4.4,297,5973301
Los Jabalíes Single Vineyard Malbec,4.4,284,629532
Vinha Centenaria Branco,4.4,281,1123535
Côte Rôtie La Brocarde,4.4,278,5973301
Triglia Negroamaro Rosato,4.4,278,4270717
Les Ruchons Sancerre Blanc,4.4,269,5973301
Hyde Vineyard Chardonnay,4.4,265,12273684
Dogs of the Barossa Shiraz,4.4,264,1022965
Chambolle-Musigny Premier Cru 'Les Feusselottes',4.4,262,5973301
Estate Reserve Viognier,4.4,257,269649
Nuits-Saint-Georges,4.4,257,5973301
Il 'Divasco' Riserva,4.4,255,4270717
Minami,4.4,246,2264396
Champ Cain Extra Brut Champagne Grand Cru 'Avize',4.4,234,5973301
Peña Lobera,4.4,234,2264396
Belles Soeurs Cuvée Pinot Noir,4.4,229,12273684
Lot 1,4.4,226,12273684
Fino La Barajuela,4.4,222,2264396
Le Lucére Brunello di Montalcino Riserva,4.4,213,4270717
Schlehdorn Riesling Trocken,4.4,202,2549989
Petracs Furmint,4.4,200,102235
Kalkofen G.C,4.4,188,2549989
Bual Madeira,4.4,187,1123535
Castellberg Pinot Noir,4.4,187,2549989
Ipsus Chianti Classico Gran Selezione,4.4,185,4270717
Todeschini Distique Saint-Émilion Grand Cru,4.4,185,5973301
Chemin du Bois Champagne,4.4,184,5973301
Vieilles Vignes La Parcelle 8 Apalta,4.4,184,326757
Vignes Centenaires 'La Richemone',4.4,182,5973301
110 e Lode Merlot,4.4,174,4270717
Chablis Grand Cru 'Les Clos',4.4,173,5973301
Freienfeld Cabernet Sauvignon Riserva,4.4,173,4270717
Carpathia Heritage,4.4,166,228185
Sous L'Escalier Petite Arvine du Valais,4.4,164,1601799
El Escolladero,4.4,161,2264396
Predappio Massera,4.4,161,4270717
Roccolo Ludwig Barth von Barthenau,4.4,155,4270717
Pandorga,4.4,148,2264396
Barolo Bussia Vigna Munie,4.4,141,4270717
Annunziata Barolo Riserva,4.4,138,4270717
Saint-Julien (Grand Cru Classé),4.3,160830,5973301
Costasera Amarone della Valpolicella Classico,4.3,93397,4270717
Pessac-Léognan (Grand Cru Classé de Graves),4.3,68735,5973301
Le Serre Nuove,4.3,50411,4270717
Ribera del Duero Reserva,4.3,37394,2264396
Saint-Estèphe (Grand Cru Classé),4.3,35624,5973301
Malleolus,4.3,34630,2264396
Pian delle Vigne Brunello di Montalcino,4.3,31363,4270717
Cabernet - Cabernet,4.3,27436,629532
Dagromis Barolo,4.3,20685,4270717
Chardonnay,4.3,19926,12273684
Amarone della Valpolicella,4.3,17746,4270717
Bricco dell'Uccellone Barbera d'Asti,4.3,17625,4270717
Il Pino di Biserno,4.3,17566,4270717
Macán Clásico,4.3,16525,2264396
Memorias,4.3,15980,326757
Mille E Una Notte,4.3,15865,4270717
Hermitage La Chapelle Rouge,4.3,15298,5973301
Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,13415,12273684
Barolo Riserva,4.3,12928,4270717
Gran Malbec (X),4.3,12579,629532
Esporão Private Selection Tinto,4.3,12566,1123535
Oreno Toscana,4.3,12407,4270717
Cepparello Red,4.3,12191,4270717
Reserva Ribera del Duero,4.3,11233,2264396
San Vicente Rioja,4.3,10701,2264396
Gran Reserva Rioja (Finca Ygay),4.3,9595,2264396
Victorino,4.3,9294,2264396
Clos de la Coulée de Serrant,4.3,8365,5973301
Côtes du Rhône,4.3,8196,5973301
Galatrona,4.3,7971,4270717
Chambertin Grand Cru,4.3,7778,5973301
Gaudium,4.3,7414,2264396
Barbera d'Alba Vigna Francia,4.3,7315,4270717
Brunello di Montalcino Riserva Vigna Paganelli,4.3,7123,4270717
Tokaji Aszú 3 Puttonyos,4.3,7080,102235
Ribolla Gialla,4.3,7018,4270717
Blanc de Blancs Brut Champagne (Vintage),4.3,6400,5973301
Castello della Sala Muffato della Sala,4.3,6356,4270717
Tokaji Aszú 5 Puttonyos,4.3,6098,102235
TD9,4.3,6056,12273684
Barolo Brunate,4.3,5777,4270717
Vintage Port,4.3,5662,1123535
Barbaresco Rabajà,4.3,5469,4270717
25 anni Montefalco Sagrantino,4.3,5419,4270717
Riserva Nova Domus Terlaner,4.3,5250,4270717
Barolo Le Vigne,4.3,5026,4270717
Lion Tamer Napa Valley Red Blend,4.3,4981,12273684
Bric Dël Fiasc Barolo,4.3,4947,4270717
Barolo Sorì Ginestra,4.3,4827,4270717
Percarlo,4.3,4808,4270717
Puligny-Montrachet,4.3,4548,5973301
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4.3,4229,4270717
Toscana Batar,4.3,4187,4270717
Barolo Riserva Bricco Boschis Vigna San Giuseppe,4.3,4030,4270717
La Cueva del Contador Rioja,4.3,4013,2264396
Saint-Joseph,4.3,3931,5973301
Vecchie Vigne Brunello di Montalcino,4.3,3868,4270717
Barolo Cerequio,4.3,3839,4270717
Perpetual,4.3,3809,2264396
Domaine des Tourettes Hermitage Rouge,4.3,3806,5973301
Cà Bertoldi Amarone della Valpolicella Classico,4.3,3708,4270717
Toscana Camartina,4.3,3673,4270717
Barolo Cannubi,4.3,3653,4270717
Pur Sang,4.3,3634,5973301
Lindaflor Blend,4.3,3550,629532
Barolo Riserva Vigna Rionda,4.3,3530,4270717
Barolo Ciabot Mentin Ginestra,4.3,3525,4270717
Chambolle-Musigny,4.3,3455,5973301
Vacqueyras,4.3,3412,5973301
Barolo Ginestra Vigna del Gris,4.3,3333,4270717
Giallo d'Arles Greco di Tufo,4.3,3274,4270717
Chassagne-Montrachet,4.3,3269,5973301
Corte di Cama Sforzato di Valtellina,4.3,3211,4270717
Toscana Il Pareto,4.3,3195,4270717
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,4.3,3121,4270717
Mongovone Barbera d'Asti Superiore,4.3,2771,4270717
Gewürztraminer Lunare,4.3,2732,4270717
Douro Quinta da Manoella VV Tinto,4.3,2548,1123535
Rocche di Castiglione Barolo,4.3,2528,4270717
6 Anime Puglia Rosso,4.3,2476,4270717
Barolo Prapò,4.3,2450,4270717
Serral del Vell Brut Nature,4.3,2418,2264396
Scrio,4.3,2322,4270717
Merlot (Signature),4.3,2312,12273684
Il Bricco Barbaresco,4.3,2299,4270717
Barbaresco Gaiun Martinenga,4.3,2298,4270717
Vigna Molsino,4.3,2269,4270717
Pietradonice,4.3,2266,4270717
Bordeaux,4.3,2246,5973301
Buisson Renard,4.3,2119,5973301
Nine Popes,4.3,2118,1022965
Rapture Cabernet Sauvignon,4.3,2117,12273684
Royal St Robert Cuvée Pinot Noir,4.3,2099,12273684
Blanc,4.3,2053,5973301
Ulysses,4.3,1980,12273684
Barolo Paiagallo,4.3,1917,4270717
Pajè Barbaresco,4.3,1910,4270717
Cuvée Impériale Châteauneuf-du-Pape,4.3,1881,5973301
Cava Celler Batlle,4.3,1575,2264396
Preta Cuvée David Booth Grande Reserva,4.3,1507,1123535
Miserere,4.3,1392,2264396
Crescendo,4.3,1347,269649
Félix Callejo (Viñedos de la Familia),4.3,1341,2264396
Amaya Arzuaga (Colección),4.3,1179,2264396
Brunello di Montalcino Riserva Pian di Conte,4.3,1118,4270717
Moncerbal Bierzo (Corullón),4.3,1090,2264396
B Bordicon Blend,4.3,1088,269649
Vosne-Romanée,4.3,1030,5973301
Sassella Nuova Regina Riserva,4.3,987,4270717
Puligny-Montrachet Enseignères,4.3,941,5973301
Platinum,4.3,883,1601799
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,4.3,875,5973301
Piovesole Amarone della Valpolicella Classico,4.3,868,4270717
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,4.3,826,4270717
Chassagne-Montrachet 1er Cru 'La Maltroie',4.3,779,5973301
Rutherford Cabernet Sauvignon,4.3,655,12273684
Gratallops Partida Bellvisos,4.3,627,2264396
Meursault 1er Cru 'Les Genevrières',4.3,606,5973301
Vosne-Romanée Premier Cru 'Les Suchots',4.3,601,5973301
Pommard 1er Cru Les Rugiens-Bas,4.3,592,5973301
Volnay 1er Cru Les Caillerets,4.3,591,5973301
Maggiarino Vino Nobile di Montepulciano,4.3,555,4270717
Vosne-Romanée Premier Cru Les Suchots,4.3,522,5973301
Vosne-Romanée 'Les Quartiers de Nuits',4.3,511,5973301
Maria Adelaide Barbaresco,4.3,501,4270717
Clos de Vougeot Grand Cru,4.3,467,5973301
Puligny-Montrachet Premier Cru Clos du Cailleret,4.3,395,5973301
Winemaker's Selection,4.3,292,64223
Meursault 1er Cru 'Charmes',4.3,242,5973301
Annonciade Champagne,4.3,137,5973301
Pomerol,4.2,126092,5973301
Châteauneuf-du-Pape,4.2,60459,5973301
Malbec,4.2,33640,629532
Toscana,4.2,25903,4270717
Margaux (Grand Cru Classé),4.2,15699,5973301
Bolgheri Superiore Sondraia,4.2,12843,4270717
Montepulciano d'Abruzzo,4.2,11508,4270717
Colheita Port,4.2,8039,1123535
Kevin Arnold Shiraz,4.2,6987,269649
La Chapelle de La Mission Haut-Brion Pessac-Léognan,4.2,6754,5973301
Solare Toscana,4.2,4961,4270717
Aile d'Argent Blanc Bordeaux,4.2,4790,5973301
Rioja 150 Aniversario,4.2,4642,2264396
Carabantes Syrah,4.2,4523,326757
Châteauneuf-du-Pape Chaupin,4.2,4483,5973301
Barolo Monvigliero,4.2,3921,4270717
Conde de Superunda,4.2,3237,326757
Barolo Cerretta,4.2,2605,4270717
Valdegines,4.2,2594,2264396
Chafandin,4.2,2570,2264396
Cresasso Corvina Veronese,4.2,2333,4270717
Primitivo di Manduria,4.2,2011,4270717
La Ricolma,4.2,1525,4270717
Vieilles Vignes Meursault,4.2,1426,5973301
Linticlarus Lagrein Riserva,4.2,1387,4270717
Cuvée Kermesse Rosso,4.2,1153,4270717
Amarone Della Valpolicella Marta Galli,4.2,1085,4270717
Old Vines Malbec,4.2,667,629532
Chambolle-Musigny Les Baudes,4.2,525,5973301
Pochi Filagn Barbera d'Alba,4.2,410,4270717
Cuvée Extase Blanc de Blancs Champagne Grand Cru,4.2,231,5973301
Capellanía Reserva,4.1,7314,2264396
Clos des Porrets Nuits-Saint-Georges 1er Cru,4.1,3063,5973301
Nuits-Saint-Georges 1er Cru Les Damodes,4.1,793,5973301
